# depth maps
# file: 'rgbd_dataset_freiburg3_sitting_halfsphere.bag'
# timestamp filename
1341845948.747899 depth/1341845948.747899.png
1341845948.779832 depth/1341845948.779832.png
1341845948.811845 depth/1341845948.811845.png
1341845948.847887 depth/1341845948.847887.png
1341845948.879935 depth/1341845948.879935.png
1341845948.912733 depth/1341845948.912733.png
1341845948.947818 depth/1341845948.947818.png
1341845948.979804 depth/1341845948.979804.png
1341845949.011799 depth/1341845949.011799.png
1341845949.047793 depth/1341845949.047793.png
1341845949.079764 depth/1341845949.079764.png
1341845949.115972 depth/1341845949.115972.png
1341845949.148257 depth/1341845949.148257.png
1341845949.180501 depth/1341845949.180501.png
1341845949.215810 depth/1341845949.215810.png
1341845949.248302 depth/1341845949.248302.png
1341845949.284440 depth/1341845949.284440.png
1341845949.315805 depth/1341845949.315805.png
1341845949.347826 depth/1341845949.347826.png
1341845949.383763 depth/1341845949.383763.png
1341845949.415747 depth/1341845949.415747.png
1341845949.451923 depth/1341845949.451923.png
1341845949.483860 depth/1341845949.483860.png
1341845949.515835 depth/1341845949.515835.png
1341845949.551907 depth/1341845949.551907.png
1341845949.583748 depth/1341845949.583748.png
1341845949.620637 depth/1341845949.620637.png
1341845949.651780 depth/1341845949.651780.png
1341845949.684495 depth/1341845949.684495.png
1341845949.719909 depth/1341845949.719909.png
1341845949.751796 depth/1341845949.751796.png
1341845949.787872 depth/1341845949.787872.png
1341845949.820468 depth/1341845949.820468.png
1341845949.852515 depth/1341845949.852515.png
1341845949.887807 depth/1341845949.887807.png
1341845949.920040 depth/1341845949.920040.png
1341845949.955814 depth/1341845949.955814.png
1341845949.987754 depth/1341845949.987754.png
1341845950.019799 depth/1341845950.019799.png
1341845950.055893 depth/1341845950.055893.png
1341845950.087741 depth/1341845950.087741.png
1341845950.124088 depth/1341845950.124088.png
1341845950.155766 depth/1341845950.155766.png
1341845950.187742 depth/1341845950.187742.png
1341845950.224678 depth/1341845950.224678.png
1341845950.255898 depth/1341845950.255898.png
1341845950.287800 depth/1341845950.287800.png
1341845950.324100 depth/1341845950.324100.png
1341845950.355796 depth/1341845950.355796.png
1341845950.388518 depth/1341845950.388518.png
1341845950.424283 depth/1341845950.424283.png
1341845950.455781 depth/1341845950.455781.png
1341845950.487886 depth/1341845950.487886.png
1341845950.523908 depth/1341845950.523908.png
1341845950.555825 depth/1341845950.555825.png
1341845950.587754 depth/1341845950.587754.png
1341845950.623839 depth/1341845950.623839.png
1341845950.655782 depth/1341845950.655782.png
1341845950.691845 depth/1341845950.691845.png
1341845950.756092 depth/1341845950.756092.png
